id;timestamp;open;high;low;close;volume;trades
1;2023-11-09T23:12:14;7284.07;19457.24;24395.6;14071.02;7175;19427
2;2023-11-10T01:42:27;15622.16;2185.59;2289.92;16690.66;4838;29840
3;2023-11-09T18:12:19;28399.58;2585.24;15945.68;13416.23;26051;25432
4;2023-11-10T04:43:38;23223.19;13623.62;26056.75;24049.48;3418;32177
5;2023-11-09T08:25:15;11316.57;29991.05;30859.44;335.13;28814;6484
6;2023-11-09T18:22:57;14432.03;22129.11;23487.52;20135.56;21347;9797
7;2023-11-10T05:42:16;32070.32;24037.82;18757.98;9600.92;23082;3837
8;2023-11-09T07:03:17;27507.04;29641.85;28583;8098.82;1677;21628
9;2023-11-09T13:37:22;11866.35;1957.47;10896.07;540.1;3215;9106
10;2023-11-09T11:42:55;30930.1;7150.94;16200.44;9309.63;16228;6894
