id;timestamp;open;high;low;close;volume;trades
1;2023-11-09T19:04:23;3149.48;29519.06;24859.4;23337.47;28714;18334
2;2023-11-09T19:29:47;25798.47;32035.22;6838;16394.47;6515;15968
3;2023-11-09T14:23:05;31386.83;2387.18;11241.74;24311.63;8616;14525
4;2023-11-10T04:27:17;2357.3;25531.24;4013.74;5870.75;485;4941
5;2023-11-10T01:49:38;18008.26;6947.5;595.29;20424.01;28375;25059
6;2023-11-09T09:25:32;26732.19;23955.84;23383.88;15656.47;18899;9822
7;2023-11-10T04:53:21;5183.03;4868.48;20868.75;12517.28;17390;13353
8;2023-11-10T01:31:03;9864.69;30736.71;16609.19;25972.64;23524;31427
9;2023-11-09T12:50:11;2232.7;26086.23;2214.94;10367.54;11123;32747
10;2023-11-09T16:30:59;32537.38;3214.7;23975.92;26263.49;23700;9983
