id;timestamp;open;high;low;close;volume;trades
1;2023-11-09T07:24:40;12249.11;22370.01;6907.4;21618.42;21268;4114
2;2023-11-10T00:21:55;26488.3;7579.67;19814.4;4685.28;15100;12996
3;2023-11-09T15:18:06;18990.26;20483.03;10006.2;15564.53;15987;31101
4;2023-11-09T10:08:11;11287.3;28158.27;13152.7;8373.26;10619;12095
5;2023-11-09T07:35:39;31876.4;13068.44;27607.56;10455.28;2782;30363
6;2023-11-09T12:19:01;25365.46;31106.1;28777.11;23042.62;13097;12830
7;2023-11-09T10:59:44;6708.74;18832.91;28518.6;19143.48;29009;20839
8;2023-11-09T20:51:42;24462.62;12469.24;22958.47;6953.92;32685;15643
9;2023-11-09T11:26:25;25359.65;4532.94;12273.3;27648.74;30246;2476
10;2023-11-10T05:31:41;4745.87;22605.23;10701.95;7795.94;3820;4873
